epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
61,1110.14,1.2243,1.41553,1.35046,0.88384,0.56396,0.60646,0.48999,1.48917,1.6788,1.61007,0.000755,0.000755,0.000755
62,1131.2,1.21559,1.40368,1.35244,0.87242,0.59468,0.61781,0.49296,1.5178,1.60792,1.62233,0.00074675,0.00074675,0.00074675
63,1148,1.23172,1.40756,1.34508,0.75851,0.59979,0.60299,0.48432,1.4045,1.89154,1.46849,0.0007385,0.0007385,0.0007385
64,1169.66,1.18098,1.37372,1.32771,0.78253,0.56454,0.62426,0.50146,1.48525,1.98673,1.58577,0.00073025,0.00073025,0.00073025
65,1185.72,1.19541,1.39264,1.33667,0.78386,0.56035,0.61137,0.47247,1.52563,1.92741,1.55485,0.000722,0.000722,0.000722
66,1206.05,1.18682,1.3691,1.30582,0.73929,0.58169,0.59698,0.47094,1.46881,1.9469,1.54356,0.00071375,0.00071375,0.00071375
67,1220.51,1.16454,1.33605,1.30715,0.75801,0.57356,0.61524,0.48368,1.50528,1.77503,1.62239,0.0007055,0.0007055,0.0007055
68,1236.54,1.16319,1.3748,1.30486,0.81665,0.57844,0.61637,0.49557,1.42298,1.88042,1.55405,0.00069725,0.00069725,0.00069725
69,1254.01,1.15464,1.34901,1.3166,0.83057,0.53585,0.60687,0.47031,1.53777,1.8533,1.63056,0.000689,0.000689,0.000689
70,1271.28,1.17729,1.32048,1.30091,0.75857,0.58558,0.60792,0.46817,1.49069,1.98857,1.58562,0.00068075,0.00068075,0.00068075
71,1288.53,1.15114,1.29595,1.28094,0.71012,0.61865,0.60965,0.49653,1.3517,1.83041,1.51496,0.0006725,0.0006725,0.0006725
72,1305.58,1.18665,1.33555,1.31883,0.81168,0.55288,0.60437,0.48768,1.40478,1.5809,1.60203,0.00066425,0.00066425,0.00066425
73,1322.24,1.2033,1.34498,1.31507,0.84294,0.56908,0.63566,0.51242,1.41102,1.5263,1.69522,0.000656,0.000656,0.000656
74,1343.81,1.11047,1.26912,1.2805,0.7735,0.58891,0.58902,0.47695,1.50818,1.92645,1.73796,0.00064775,0.00064775,0.00064775
75,1360.98,1.10684,1.29712,1.28079,0.80816,0.58078,0.60549,0.48209,1.368,1.97204,1.52927,0.0006395,0.0006395,0.0006395
76,1383.92,1.15073,1.33785,1.31693,0.68099,0.59606,0.60122,0.47946,1.46509,1.89789,1.63079,0.00063125,0.00063125,0.00063125
77,1400.75,1.13339,1.27906,1.28626,0.76637,0.5894,0.62133,0.49063,1.49286,1.72595,1.60794,0.000623,0.000623,0.000623
78,1421.48,1.13313,1.29391,1.28278,0.78972,0.5732,0.61736,0.46841,1.45989,1.60925,1.52835,0.00061475,0.00061475,0.00061475
79,1437.66,1.12259,1.29207,1.28969,0.79001,0.55876,0.60908,0.46673,1.53391,2.007,1.57729,0.0006065,0.0006065,0.0006065
80,1454.17,1.13771,1.31983,1.29184,0.8493,0.60461,0.63653,0.49813,1.58206,1.83766,1.67467,0.00059825,0.00059825,0.00059825
