epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
78,473.621,1.2053,0.97511,1.0748,0.97091,1,0.99442,0.55845,1.43253,0.97928,1.0157,0.0004754,0.0004754,0.0004754
79,479.42,1.31489,0.99347,1.10196,0.97714,1,0.995,0.58109,1.4974,0.91513,1.02235,0.0004556,0.0004556,0.0004556
80,485.239,1.28688,0.95784,1.09324,0.99013,1,0.995,0.61153,1.5131,0.91025,1.04719,0.0004358,0.0004358,0.0004358
81,491.101,1.22159,0.90678,1.06014,0.99211,1,0.995,0.61064,1.47058,0.90568,1.05042,0.000416,0.000416,0.000416
82,496.901,1.19623,0.90309,1.08419,0.98056,0.98931,0.99442,0.59715,1.43694,0.92907,1.02317,0.0003962,0.0003962,0.0003962
83,502.654,1.23005,0.92484,1.09199,0.99979,1,0.995,0.62124,1.36948,0.91752,1.01014,0.0003764,0.0003764,0.0003764
84,508.401,1.22548,0.98269,1.09508,0.99418,0.98039,0.99481,0.60554,1.3766,0.89799,1.01437,0.0003566,0.0003566,0.0003566
85,514.205,1.16886,0.90534,1.06,1,0.99213,0.995,0.58843,1.39986,0.91177,1.01629,0.0003368,0.0003368,0.0003368
86,519.998,1.22899,0.92553,1.07062,0.95429,1,0.99271,0.56401,1.43898,0.89911,1.02585,0.000317,0.000317,0.000317
87,525.869,1.16948,0.93382,1.05945,0.95519,1,0.99069,0.56203,1.46507,0.88058,1.04751,0.0002972,0.0002972,0.0002972
88,531.739,1.22578,0.96641,1.0992,0.97299,1,0.99365,0.57207,1.45828,0.86819,1.04772,0.0002774,0.0002774,0.0002774
89,537.528,1.1666,0.89899,1.06371,0.95175,1,0.99365,0.60779,1.41145,0.83528,1.02293,0.0002576,0.0002576,0.0002576
90,543.294,1.16609,0.87829,1.0609,0.97426,1,0.9925,0.60472,1.44536,0.82576,1.02013,0.0002378,0.0002378,0.0002378
